video,cp,p,n,ttc_start,ttc_true,distance,lcd,l0,ldot,gate_g1,gate_ident,gate_m0,gate_fan,gate_fan_free,x_looming
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.0,21,2.0,2.0,3.888888888888889,2.0,1.6260000000000001,0.003333333333334447,0.06654594577985293,0.06654594577985293,0.049213760811714385,0.0,0.08,-1.4758358334005228
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,2.0,1.3300000000000007,-0.9866666666666646,0.9638297846821879,0.9638297846821879,0.9501659335073478,0.0,0.97,-1.1718197333747336
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.85,10,2.0,1.4,2.722222222222222,2.0,0.8720000000000006,-1.6933333333333334,0.9999946125945988,0.9999946125945988,0.9999893355486987,0.0,1.0,-0.818459091831626
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,11,2.0,1.1,2.138888888888889,2.0,0.39800000000000035,-1.5800000000000007,0.9999971383767287,0.9999971383767287,0.9999942235418419,0.0,1.0,-0.4001972745314972
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,0.85,10,2.0,0.8,1.5555555555555556,2.0,-0.08100000000000063,-1.59666666666667,0.9999998018297924,0.9999998018297924,0.9999995677253504,1.0,1.0,0.1018040459973522
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.0238095238095238,21,3.0,3.0,5.833333333333333,2.0,1.6269999999999996,-2.960594732333751e-15,0.06772784818573346,0.06772784818573346,0.05014654965977478,0.0,0.08,-2.2555553199780123
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.8181818181818182,11,3.0,2.7,5.25,2.0,1.3319999999999996,-0.9833333333333332,0.962857051757218,0.962857051757218,0.9489066208073087,0.0,0.97,-2.0507658466895697
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.75,10,3.0,2.4,4.666666666666666,2.0,0.8739999999999994,-1.6933333333333394,0.9999945622056106,0.9999945622056106,0.9999892389400007,0.0,1.0,-1.8234337124089448
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,2.0,0.39999999999999925,-1.5800000000000007,0.9999971108527652,0.9999971108527652,0.9999941696852653,0.0,1.0,-1.5682605400132
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.8,10,3.0,1.8,3.5,2.0,-0.08399999999999985,-1.6133333333333304,0.9999998506317893,0.9999998506317893,0.9999996716286593,1.0,1.0,-1.278005697428891
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0,21,4.0,4.0,7.777777777777778,2.0,1.6289999999999993,0.0033333333333285253,0.06615554628018201,0.06615554628018201,0.04890592849595861,0.0,0.08,-2.819761432955759
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.8636363636363636,11,4.0,3.7,7.194444444444445,2.0,1.2409999999999994,-1.293333333333333,0.9975699394498705,0.9975699394498705,0.9961580928202879,0.0,1.0,-2.6662696454454218
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.7,10,4.0,3.4,6.611111111111111,2.0,0.7850000000000008,-1.6866666666666645,0.9999960649379483,0.9999960649379483,0.9999921340094402,0.0,1.0,-2.5002492060565444
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.8181818181818182,11,4.0,3.1,6.027777777777778,2.0,0.3050000000000004,-1.6000000000000014,0.999998640030944,0.999998640030944,0.9999971926735736,0.0,1.0,-2.3195237816851915
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.85,10,4.0,2.8,5.444444444444444,2.0,-0.19100000000000006,-1.83333333333333,0.9999999981713319,0.9999999981713319,0.9999999954976643,1.0,1.0,-2.121315140754475
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0,11,5.0,5.0,9.72222222222222,2.0,1.6300000000000006,2.960594732333751e-15,0.06733209223175622,0.06733209223175622,0.0498340664926506,0.0,0.08,-3.2608415070219836
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,0.8181818181818182,11,5.0,4.7,9.13888888888889,2.0,1.2420000000000007,-1.293333333333333,0.9975622879137458,0.9975622879137458,0.9961465351299937,0.0,1.0,-3.1383125851464975
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,0.8636363636363636,11,5.0,4.1,7.972222222222221,2.0,0.3010000000000008,-1.596666666666664,0.9999985991644639,0.9999985991644639,0.9999971108527652,0.0,1.0,-2.8684512727566536
