seed_id,omega,v_f0,d0,t_crash,dv_lead_orig
1,0.012977002,1.03,1.34,5.2,0.809665307
2,0.663725444,18.44,50.43,5.15,7.21889503
3,0.184649178,18.44,50.43,4.95,7.799279341
4,0.040016275,27.21,91.51,5.2,9.552303564
5,7.418140737,1.46,2.62,4.85,1.218978294
6,0.562398884,3.6,12.11,4.9,0.425668015
7,0.48163867,3.6,12.11,4.9,0.327796201
8,0.018637104,3.6,12.11,5.15,1.276523097
9,0.06478954,3.6,12.11,5.2,1.016879013
10,0.015606475,3.6,12.11,4.9,0.008500977
11,0.018330698,3.6,12.11,5.0,0.411709535
12,2.985015308,3.6,12.11,5.05,1.489917524
13,0.979899332,3.6,12.11,5.0,0.659963644
14,0.883549171,1.26,1.9,4.85,0.863569003
15,0.260000703,6.55,11.88,5.1,1.43138889
16,0.029018148,6.55,11.88,5.2,3.300477961
17,0.042967703,14.13,28.99,5.15,6.228565282
18,1.029559598,12.41,22.87,4.95,4.134745068
19,4.215587715,14.79,19.53,5.0,3.953331989
20,0.126700419,20.77,69.05,5.05,7.839398185
21,0.343975859,1.15,1.36,5.05,0.872033703
22,1.964325605,1.53,1.55,5.0,0.825001984
23,0.462948431,2.92,2.64,4.85,1.506169282
24,0.451350892,12.74,32.82,5.05,6.660484246
25,0.301054047,3.75,2.15,4.85,1.786119394
26,0.06039108,18.94,68.01,5.2,9.601490123
27,0.022866755,24.66,92.7,5.05,11.33689512
28,0.046535113,24.66,92.7,4.85,11.50722392
29,0.023145924,1.12,1.36,5.2,0.665030558
30,0.451567283,26.4,53.46,5.2,7.831000673
31,2.233928216,1.57,1.82,4.9,1.162172776
32,0.107268833,18.95,77.86,5.15,8.706866864
33,0.107427874,18.95,77.86,5.05,6.5978449
34,0.052352951,18.95,77.86,5.15,8.2331206
35,0.019705365,18.95,77.86,5.2,8.337060019
36,0.181357048,3.34,7.1,5.1,0.348891012
37,2.559690229,3.34,7.1,5.15,1.872298002
38,0.109629895,6.99,21.73,5.15,3.321202817
39,0.021975609,6.99,21.73,4.85,3.044537519
40,1.899072056,1.7,1.37,4.9,1.146183066
41,0.0122707,4.68,15.35,4.9,3.364461609
42,0.042224266,4.68,15.35,4.95,1.755560011
43,0.016385804,4.68,15.35,4.85,1.011429154
44,0.32730238,4.68,15.35,5.1,1.208641189
45,0.270251737,4.68,15.35,5.05,1.397194345
46,0.688278682,4.68,15.35,4.9,0.131740626
47,0.443574013,7.79,22.97,5.0,4.482612101
48,0.017238274,35.44,74.59,4.9,8.562775391
49,0.108079132,6.52,13.01,4.95,0.741214242
50,0.036359804,14.75,45.97,4.9,7.445526217
51,0.409031043,6.57,14.93,4.9,1.082220083
52,1.342226607,6.57,14.93,4.85,1.472284468
53,2.917274961,1.53,1.55,5.1,0.913933257
54,0.052658634,2.66,1.81,5.05,1.883439768
55,0.143844829,2.7,4.22,5.1,0.179036038
56,0.016824725,3.49,1.53,5.1,1.854037989
57,4.579967259,1.07,1.67,5.2,0.653928686
58,0.580201463,1.2,1.6,4.85,0.810353426
59,6.450448923,24.27,54.41,5.15,6.159229508
60,2.956812506,17.37,53.0,5.2,8.937276991
61,0.016393481,17.37,53.0,5.0,6.170002525
62,0.061575877,15.77,37.89,5.0,6.454283018
63,0.093985146,1.13,1.35,5.0,0.560267833
64,0.862069446,10.56,37.37,5.0,6.223808355
65,0.121491786,10.56,37.37,5.2,6.08435144
66,0.960472873,1.59,3.07,5.0,1.099307464
67,0.542834167,7.38,7.68,4.95,2.293107023
68,0.048451371,4.94,5.83,4.95,2.226532286
69,0.43017913,1.29,1.57,5.0,0.928089386
70,0.196788816,2.0,2.07,4.85,1.891861313
71,0.770625756,15.23,50.27,5.2,7.426060835
72,0.524174884,5.84,27.07,5.05,2.245159486
73,0.210363354,5.84,27.07,5.05,3.521242338
74,2.170942393,5.84,27.07,5.15,2.662785493
75,0.348842346,5.84,27.07,4.95,2.667193494
76,0.220844443,5.84,27.07,5.05,1.81894619
77,0.045065364,8.7,28.84,5.1,4.142545267
78,1.788176824,8.7,28.84,5.15,2.071799279
79,0.023542557,8.7,28.84,4.85,2.418254156
80,1.599955721,8.7,28.84,5.05,3.719154927
81,0.083623859,1.02,1.34,4.95,0.617429243
82,3.327687393,4.81,3.38,4.85,3.400073893
83,0.011626436,18.01,39.56,5.0,5.593885736
84,0.017952662,18.01,39.56,4.95,5.843714042
85,2.995838411,18.01,39.56,5.0,7.412629954
86,0.041137474,11.19,31.1,4.9,4.8262881
87,0.168736806,9.53,9.85,5.15,3.064596188
88,0.399746315,35.8,90.44,4.95,13.86207511
89,0.35106393,15.2,25.35,5.05,5.250055724
90,0.087068985,8.24,33.2,5.2,5.648485737
91,0.29578599,9.2,7.56,5.0,5.073458547
92,0.033484936,7.7,24.63,5.15,4.652704878
93,0.208455791,10.26,46.88,5.05,5.025266864
94,0.606706542,16.43,79.55,5.2,8.433703373
95,0.020721554,18.62,33.04,4.95,5.562862066
96,0.34638017,15.15,40.98,5.15,5.52774085
97,3.931568437,4.67,16.05,4.85,2.154191371
98,0.439652914,4.67,16.05,5.2,1.529396341
99,0.061375527,4.67,16.05,4.85,0.354486008
100,0.047702777,4.67,16.05,4.95,0.909115356
101,1.474115984,4.67,16.05,4.9,1.424216729
102,2.874493854,4.67,16.05,5.1,3.423676802
103,0.729676752,4.91,11.47,4.9,1.037423928
104,0.22929839,2.8,3.75,4.9,1.607619327
105,1.436273139,1.3,1.86,4.95,0.585834334
106,0.046145852,13.04,29.85,4.85,5.989332456
107,0.012596542,13.54,57.33,5.1,5.291322653
108,0.02456862,13.54,57.33,4.95,6.003238872
109,0.226083565,7.88,34.9,5.2,5.150656495
110,1.314908508,3.24,6.27,5.1,1.815568443
111,1.729044813,9.45,32.74,5.15,4.358954866
112,0.07626441,10.94,35.44,5.1,6.484347718
113,0.480882105,6.18,8.47,5.15,1.113760656
114,22.88104781,1.16,1.36,4.95,0.93371688
115,12.904755,1.48,1.41,5.15,1.189281408
116,2.017315984,14.34,27.38,5.1,5.63433222
117,0.742024871,17.42,47.28,5.1,7.326980305
118,6.059074369,2.7,2.25,4.85,1.311272381
119,0.077931367,4.42,10.05,5.15,0.62769652
120,2.980809655,4.05,7.48,5.05,2.025202506
121,0.338979195,15.18,73.61,5.2,6.499792414
122,0.122204538,7.92,25.25,4.9,4.741671071
123,0.531533823,7.92,25.25,4.9,4.586270016
124,1.706031395,2.5,8.95,5.15,0.293751332
125,0.686758505,2.5,8.95,4.95,0.613923495
126,0.382725347,2.5,8.95,5.0,0.629363224
127,0.03473514,2.5,8.95,4.95,1.072237874
128,0.108732626,2.5,8.95,4.85,0.248053104
129,3.504209546,2.5,8.95,5.15,1.556574936
130,0.180516942,1.87,2.99,5.05,1.74123952
131,0.143059906,4.55,10.05,5.05,0.085436525
132,0.123276385,4.55,10.05,5.15,0.614294925
133,0.015867236,3.51,1.68,5.15,1.540967382
134,1.761946744,1.31,1.5,5.2,1.276645527
135,4.1124091,2.39,4.37,5.2,1.093362076
136,1.747957627,4.96,3.94,4.95,2.655535078
137,5.614050536,4.96,3.94,4.9,3.668168908
138,0.06489514,19.51,43.68,5.05,5.410542684
139,1.717321137,15.6,59.92,4.95,7.348111612
140,16.46059463,3.2,6.92,4.85,2.089262183
141,3.944450914,1.68,1.8,4.85,0.638932204
142,0.768493037,11.21,24.13,4.85,3.291155855
143,0.060220154,18.64,19.26,5.0,3.855447711
144,2.065943084,1.44,2.32,5.0,0.877669455
145,0.240717855,4.24,6.38,5.05,2.651683639
146,0.015103229,3.04,3.36,5.05,2.047338274
147,0.105172551,7.93,10.1,5.05,4.641436685
148,0.286887205,6.59,16.37,4.95,3.030299063
149,1.283215275,1.33,1.59,5.1,0.881031278
150,0.157735045,6.74,6.1,4.9,2.975684861
151,1.129357762,9.48,36.16,4.85,4.433862869
152,0.099251146,1.02,1.34,4.9,0.837182367
153,3.047952814,3.9,3.4,5.05,2.163818055
154,2.032838846,2.72,3.14,5.0,2.183489062
155,2.365060316,4.74,17.5,4.85,2.723027581
156,0.011323573,4.74,17.5,4.85,2.19693425
157,1.099054125,4.74,17.5,5.15,1.293420413
158,0.150355405,4.74,17.5,4.9,0.363756288
159,0.288683564,12.83,29.4,4.95,6.125354208
160,0.068228497,3.38,10.86,5.0,1.658016283
161,0.228787877,3.38,7.87,5.15,2.467510352
162,3.095370684,5.49,12.98,4.95,2.460425637
163,0.471442461,2.38,3.11,5.1,1.146496752
164,4.420990012,5.32,10.68,4.95,0.674517323
165,0.017058341,5.32,10.68,5.2,3.182570832
166,6.972661143,2.06,5.87,4.9,0.666937648
167,0.071164569,2.06,5.87,4.9,0.343032549
168,0.182226298,2.06,5.87,4.95,0.825305414
169,0.013782393,3.67,3.8,5.2,2.301046446
170,0.041708268,4.19,17.35,4.85,3.80999669
171,0.395741621,14.59,41.32,5.2,7.807568839
172,0.029278564,9.96,12.7,5.05,2.472006597
173,3.26947998,19.52,77.82,4.85,6.728371763
174,0.186487374,19.52,77.82,4.9,8.671691175
175,0.018394449,14.64,58.65,4.95,8.587124303
176,0.054304652,14.1,15.47,5.1,4.20615167
177,3.876896501,3.08,3.09,4.85,0.412631076
178,9.322318822,2.5,5.88,5.15,1.716545123
179,0.136225474,12.36,28.79,5.1,4.402068206
180,1.906955772,19.35,51.1,4.95,5.850529004
181,0.024867389,19.35,51.1,4.95,7.359977769
182,0.015287506,19.35,51.1,5.05,6.864812673
183,0.094013006,10.45,15.96,5.05,6.583901184
184,0.087781903,9.85,11.82,5.0,4.189436784
185,0.697315336,2.64,2.12,5.0,2.151746291
186,0.063817774,5.07,4.39,4.9,3.175300384
187,0.011501759,8.31,32.74,5.2,3.493870631
188,14.67190153,1.93,2.99,4.85,1.106162927
189,0.011546102,17.51,64.7,5.2,7.406167047
190,0.012972561,6.94,13.35,5.05,1.308711295
191,1.374880052,6.9,4.69,4.85,3.159018136
192,0.027377986,9.56,24.11,4.9,2.197610493
193,2.013476084,9.56,24.11,4.85,2.354516062
194,1.719354443,1.55,1.4,5.0,0.487243688
195,2.837907667,12.71,38.59,4.85,4.863983777
196,0.012678271,13.59,46.33,4.95,5.162021837
197,1.058252061,13.59,46.33,5.05,4.448290887
198,0.055507743,2.76,5.68,4.95,0.304075015
199,0.067999144,14.73,63.26,4.9,7.815820112
200,1.89483272,28.9,87.71,4.85,10.50389637
201,7.134632335,2.11,1.88,5.0,1.266471161
202,0.071499304,22.05,64.89,4.85,9.742245864
203,0.160994275,5.59,25.8,5.1,1.372628255
204,0.310126146,5.59,25.8,5.15,2.031585422
205,1.275581488,5.59,25.8,4.95,2.312152495
206,0.095415019,5.59,25.8,4.9,2.920772956
207,0.025283543,5.59,25.8,5.2,1.897144183
208,1.614524578,1.42,1.34,5.1,0.709890052
209,2.005540578,12.03,41.37,5.1,5.631541932
210,0.050622222,12.03,41.37,4.9,5.920017028
211,0.03575013,11.26,43.88,5.1,3.468434599
212,0.753148662,11.26,43.88,4.85,4.039052826
213,0.381446443,28.03,48.89,4.9,6.789808468
214,1.685735276,5.97,28.44,5.2,2.173024593
215,0.13681643,5.97,28.44,4.9,2.162145707
216,0.3042412,10.46,33.9,4.9,3.510640203
217,0.014051827,12.65,36.95,4.9,6.415623843
218,0.03462946,7.92,23.83,4.85,5.012727628
219,2.444833472,7.16,5.43,4.9,4.594998227
220,3.090515975,1.32,1.41,5.1,0.744330097
221,0.019004747,6.41,13.73,5.2,5.040733209
222,0.020716947,11.21,35.71,5.15,3.583053888
223,0.042543993,6.52,27.13,5.2,1.820534098
224,0.02422289,6.52,27.13,5.05,1.835683824
225,0.063447414,6.52,27.13,4.95,2.649307672
226,1.183983206,6.52,27.13,5.1,3.434951402
227,0.022869539,6.52,27.13,5.2,1.928561504
228,1.398478317,24.25,84.03,5.0,11.10914203
229,0.280136366,7.01,5.68,4.95,2.084934745
230,4.161313705,7.11,10.4,4.95,4.487333181
231,1.024944252,16.55,36.01,4.9,8.089466646
232,1.264026771,16.55,36.01,5.1,5.650300519
233,0.032302351,23.83,84.45,5.2,11.478704
234,5.022742769,3.9,5.07,4.85,2.376844695
235,0.174764429,13.13,49.9,5.05,7.68650771
236,0.480169606,16.99,69.22,4.95,8.372958657
237,2.958974569,7.65,6.47,5.0,3.793460154
238,0.198101548,21.62,62.32,5.2,6.834891372
239,5.74222603,1.2,1.55,5.1,0.950420369
240,0.131343479,12.41,27.99,4.85,6.55207027
241,0.163626915,12.41,27.99,5.1,7.181829279
242,0.124044569,14.63,46.48,5.05,3.797830022
243,0.744627498,1.13,1.36,5.05,0.926400488
244,2.655874487,1.14,1.36,4.9,1.026174584
245,1.718579509,20.48,67.26,5.05,9.612690419
246,2.792071975,21.85,79.65,5.1,13.04157906
247,0.138451575,21.85,79.65,5.0,13.78933762
248,0.06475489,3.29,4.48,5.2,2.431993239
249,0.112041676,12.55,50.63,4.95,6.944392188
250,0.105087261,12.55,50.63,5.2,5.912363342
251,0.510120089,8.75,14.29,5.1,2.98125332
252,0.053989734,5.89,16.76,4.9,3.039067314
253,0.014559815,7.33,15.02,4.95,4.822790899
254,2.115303905,4.95,3.5,4.9,2.365504301
255,0.514624938,1.35,1.46,4.85,0.736273015
256,6.058527951,1.44,1.43,5.1,0.536785706
257,0.080056026,6.95,9.46,5.15,2.901671644
258,0.130800214,2.75,5.99,4.85,0.284600955
259,13.96505677,5.9,9.42,5.2,3.549942819
260,0.566885778,8.92,38.59,5.2,5.411601007
261,0.011916843,11.69,28.21,5.05,2.40425683
262,0.013690559,11.69,28.21,5.15,4.563324229
263,0.115639619,8.56,8.39,5.15,2.169410506
264,0.053920118,8.56,8.39,4.85,2.49231989
265,0.169988726,5.49,15.56,4.95,2.854159866
266,3.784848348,3.54,1.82,4.95,2.262503965
267,4.163838519,1.19,1.69,5.15,0.63343711
268,2.920029593,10.82,29.97,5.2,3.481087689
269,2.335285673,10.82,29.97,4.9,3.202725082
270,0.097636582,4.91,5.8,4.95,2.661462942
271,0.699535137,9.42,17.85,5.1,4.727246235
272,0.205337281,10.35,49.11,5.05,5.622486591
273,0.294911036,4.73,6.43,5.1,2.842721288
274,5.172719519,7.97,37.74,4.85,4.246526767
275,0.038547755,5.06,8.02,5.0,2.796398069
276,8.249707827,2.83,2.23,5.15,1.372947843
277,0.162942318,3.85,15.42,4.85,3.280679314
278,0.371789807,10.08,26.53,5.05,4.712397705
279,2.616597882,1.97,3.22,5.1,1.546184017
280,0.029896926,3.45,16.81,5.1,1.612318568
281,0.199491559,3.45,16.81,4.85,1.125802878
282,2.874314108,3.45,16.81,5.1,1.290965651
283,0.011647321,3.45,16.81,5.15,1.097220521
284,0.478398467,3.56,1.94,4.85,1.866272008
285,0.65060758,6.53,23.19,4.85,3.329212525
